cluster_id,word,frequency,rank_in_cluster,category
12,big,1945,3,Crisis Exaggeration
12,make,1682,4,Crisis Exaggeration
12,time,1673,5,Crisis Exaggeration
12,never,1663,6,Crisis Exaggeration
12,dont,1576,7,Crisis Exaggeration
12,obama,1486,8,Crisis Exaggeration
12,back,1308,9,Crisis Exaggeration
12,want,1241,10,Crisis Exaggeration
12,go,1036,11,Crisis Exaggeration
12,way,1009,12,Crisis Exaggeration
12,bad,969,13,Crisis Exaggeration
12,done,957,14,Crisis Exaggeration
12,know,942,15,Crisis Exaggeration
12,media,901,16,Crisis Exaggeration
12,cant,870,17,Crisis Exaggeration
12,nothing,858,18,Crisis Exaggeration
12,first,842,19,Crisis Exaggeration
12,right,800,20,Crisis Exaggeration
13,years,1090,1,Friend-Enemy Logic
13,ever,907,2,Friend-Enemy Logic
13,year,635,3,Friend-Enemy Logic
13,history,598,4,Friend-Enemy Logic
13,record,547,5,Friend-Enemy Logic
13,economy,531,6,Friend-Enemy Logic
13,obamacare,480,7,Friend-Enemy Logic
13,tax,452,8,Friend-Enemy Logic
13,numbers,416,9,Friend-Enemy Logic
13,office,402,10,Friend-Enemy Logic
13,americans,393,11,Friend-Enemy Logic
13,high,386,12,Friend-Enemy Logic
13,administration,346,13,Friend-Enemy Logic
13,since,342,14,Friend-Enemy Logic
13,million,333,15,Friend-Enemy Logic
13,taxes,321,16,Friend-Enemy Logic
13,greatest,316,17,Friend-Enemy Logic
13,disaster,294,18,Friend-Enemy Logic
13,biggest,247,19,Friend-Enemy Logic
13,low,245,20,Friend-Enemy Logic
14,last,951,1,Sole Representation
14,show,846,2,Sole Representation
14,tonight,777,3,Sole Representation
14,watch,740,4,Sole Representation
14,night,725,5,Sole Representation
14,interview,567,6,Sole Representation
14,next,529,7,Sole Representation
14,apprentice,462,8,Sole Representation
14,pm,436,9,Sole Representation
14,enjoy,412,10,Sole Representation
14,morning,380,11,Sole Representation
14,ratings,373,12,Sole Representation
14,live,357,13,Sole Representation
14,wait,315,14,Sole Representation
14,week,303,15,Sole Representation
14,celebapprentice,297,16,Sole Representation
14,season,270,17,Sole Representation
14,celebrity,265,18,Sole Representation
14,miss,264,19,Sole Representation
14,fox,259,20,Sole Representation
